subject,list,item,list_type,category,intrusion,position,trial_type
51,8,Hong Kong,light,loc,[],18.0,study
51,8,calculator,light,obj,[],19.0,study
51,8,bed,light,obj,[],20.0,study
51,8,shelf,light,obj,[],21.0,study
51,8,Leonardo DiCaprio,light,cel,[],22.0,study
51,8,Denzel Washington,light,cel,[],23.0,study
51,8,Sofia Vergara,light,cel,[],24.0,study
51,8,Vatican City,light,loc,[],25.0,study
51,8,Petronas Towers,light,loc,[],26.0,study
51,8,Roman Forum,light,loc,[],27.0,study
51,8,Petronas Towers,light,loc,0,1.0,recall
51,8,Halle Berry,light,cel,0,2.0,recall
51,8,Sofia Vergara,light,cel,0,3.0,recall
51,8,Amy Poehler,light,cel,0,4.0,recall
51,8,Julianne Moore,light,cel,0,5.0,recall
51,8,Sistine Chapel,light,loc,0,6.0,recall
51,8,Denzel Washington,light,cel,0,7.0,recall
51,8,Mariah Carey,light,cel,0,8.0,recall
51,8,hanger,light,obj,0,9.0,recall
51,8,Owen Wilson,light,cel,0,10.0,recall
52,1,Arc de Triomphe,heavy,loc,[],1.0,study
52,1,Hoover Dam,heavy,loc,[],2.0,study
52,1,Delphi,heavy,loc,[],3.0,study
52,1,Amy Poehler,heavy,cel,[],4.0,study
52,1,Uma Thurman,heavy,cel,[],5.0,study
52,1,Jay-Z,heavy,cel,[],6.0,study
52,1,shirt,heavy,obj,[],7.0,study
52,1,calculator,heavy,obj,[],8.0,study
52,1,mango,heavy,obj,[],9.0,study
52,1,Mall of America,heavy,loc,[],10.0,study
52,1,Indianapolis Speedway,heavy,loc,[],11.0,study
52,1,Vienna,heavy,loc,[],12.0,study
52,1,umbrella,heavy,obj,[],13.0,study
52,1,violin,heavy,obj,[],14.0,study
52,1,perfume,heavy,obj,[],15.0,study
52,1,Usher,heavy,cel,[],16.0,study
52,1,Morgan Freeman,heavy,cel,[],17.0,study
52,1,Britney Spears,heavy,cel,[],18.0,study
52,1,Bunker Hill,heavy,loc,[],19.0,study
52,1,Roman Forum,heavy,loc,[],20.0,study
52,1,Walk of Fame,heavy,loc,[],21.0,study
52,1,Beyonce Knowles,heavy,cel,[],22.0,study
52,1,Tobey Maguire,heavy,cel,[],23.0,study
52,1,Sylvester Stallone,heavy,cel,[],24.0,study
52,1,tent,heavy,obj,[],25.0,study
52,1,earrings,heavy,obj,[],26.0,study
52,1,hanger,heavy,obj,[],27.0,study
52,1,mango,heavy,obj,0,1.0,recall
52,1,Arc de Triomphe,heavy,loc,0,2.0,recall
52,1,Tobey Maguire,heavy,cel,0,3.0,recall
52,1,umbrella,heavy,obj,0,4.0,recall
52,1,perfume,heavy,obj,0,5.0,recall
52,1,earrings,heavy,obj,0,6.0,recall
52,1,Morgan Freeman,heavy,cel,0,7.0,recall
52,1,Delphi,heavy,loc,0,8.0,recall
52,1,Walk of Fame,heavy,loc,0,9.0,recall
52,1,Denzel Washington,heavy,cel,2,10.0,recall
52,1,Civil War Monument,heavy,,2,11.0,recall
52,1,Hoover Dam,heavy,loc,0,12.0,recall
52,1,Beyonce Knowles,heavy,cel,0,13.0,recall
52,2,Brad Pitt,light,cel,[],1.0,study
52,2,Snoop Dogg,light,cel,[],2.0,study
52,2,Lisa Kudrow,light,cel,[],3.0,study
52,2,Machu Picchu,light,loc,[],4.0,study
52,2,Yankee Stadium,light,loc,[],5.0,study
52,2,Petronas Towers,light,loc,[],6.0,study
